"drawing_number","date","username","useremail","random_id","a(km)","e(-)","i(deg)","om(deg)","duration(days)","nb_steps"
1,2017.06.17,Thibaut,,594541b773a8c,45000,0.5,90,90,500,30000
2,2017.06.17,Thibaut,,5945433aeaf89,42000,0,20,0,99.37,30000
3,2017.06.17,Thibaut,,594543a2cbe14,42000,0,45,10,960,30000
4,2017.06.17,Thibaut,,594544229c1c2,42500,0.7,80,30,83.8,30000
5,2017.06.17,Molniya,,59454a4d2c1e2,26562,0.7,63.4,-90,100,30000
6,2017.06.17,Molniya,,59454a8289955,26000,0.7,63.4,-90,100,30000
7,2017.06.17,Thibaut,,5945526c2b101,26500,0.7,50,-90,25,30000
8,2017.06.18,Thibaut,,5946824933cc1,20000,0.1,67,-30,100,30000
